time	W	temp
1618453483.1717901	5.618	76.826	
1618453483.2455895	5.618	77.364	
1618453483.3174574	5.618	77.364	
1618453483.3907795	5.618	77.364	
1618453483.4624338	5.618	76.288	
1618453483.5363266	5.618	76.826	
1618453483.6080358	5.618	77.364	
1618453483.682193	5.618	77.364	
1618453483.7540803	5.615	77.364	
1618453483.8279285	5.615	77.364	
1618453483.8996556	5.615	77.364	
1618453483.971676	5.615	77.364	
1618453484.043366	5.615	77.364	
1618453484.1176274	5.615	76.826	
1618453484.187732	5.615	77.364	
1618453484.2597497	5.615	77.364	
1618453484.3318543	5.615	77.364	
1618453484.4052014	5.615	77.364	
1618453484.4768648	5.615	77.364	
1618453484.5505004	5.615	77.364	
1618453484.6228971	5.615	77.364	
1618453484.6968758	5.615	77.364	
1618453484.769149	5.615	77.364	
1618453484.8426032	5.615	77.364	
1618453484.9142478	5.615	77.364	
1618453484.9868999	5.599	77.902	
1618453485.0592341	5.599	77.364	
1618453485.1329591	5.599	77.364	
1618453485.2043207	5.599	77.364	
1618453485.2766638	5.599	77.364	
1618453485.3485782	5.599	77.364	
1618453485.4205258	5.599	77.902	
1618453485.4908967	5.599	77.364	
1618453485.5632732	5.599	77.902	
1618453485.634699	5.599	77.364	
1618453485.7093904	5.599	77.364	
1618453485.7821882	5.676	77.902	
1618453485.8548906	5.676	77.364	
1618453485.9265175	5.676	77.902	
1618453485.9999435	5.676	77.364	
1618453486.0717084	5.676	77.364	
1618453486.1440032	5.676	77.364	
1618453486.2142107	5.676	77.902	
1618453486.2866511	5.676	77.902	
1618453486.3573751	5.676	77.364	
1618453486.4309733	5.676	77.364	
1618453486.5030031	5.676	77.364	
1618453486.5767183	5.676	77.902	
1618453486.6483324	5.676	77.364	
1618453486.721214	5.676	77.364	
